Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lebanon,LBN,7857.72417,12531.82228,13293.12842,14597.62576,15788.40732,16451.75983,15693.68728,15057.28703,14400.6408,13831.37523,13352.71339,13267.8857
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lesotho,LSO,1379.399899,1781.183614,2105.497115,2227.571688,2253.833856,2365.683461,2500.014871,2617.302097,2631.004823,2677.198078,2708.148539,2736.354895
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Liberia,LBR,875.1895802,838.6989396,656.871762,674.9848368,683.0614422,699.6537215,734.3262738,771.9054262,818.5893908,804.7198867,785.2468867,753.557379
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Libya,LBY,,21921.55202,28621.6269,28983.51723,28435.18422,29630.22215,11192.79064,24956.37515,21570.27049,16371.90215,14847.19705,14298.45505
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Liechtenstein,LIE,,,,,,,,,,,,
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Lithuania,LTU,,12189.96218,22729.21361,23567.70271,20300.50375,21070.63433,22854.33217,24049.35398,25143.91511,26258.2101,27045.71302,28033.87393
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Luxembourg,LUX,57618.0207,81689.8164,97864.1951,94900.34672,89098.73424,91743.29389,92005.01684,89505.15896,90656.38042,93655.33416,94088.59223,94920.95872
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Macao SAR, China",MAC,40365.34557,42225.49708,79743.38201,80762.39969,80121.22302,98184.3365,116752.2116,124568.5999,135318.7544,130755.1607,100444.5936,97751.73216
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,"Macedonia, FYR",MKD,9633.199073,8620.649199,10480.62426,11043.82773,10995.10179,11355.36749,11611.85199,11549.66814,11877.77368,12298.49018,12759.8166,13120.87251
"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,Madagascar,MDG,1653.1589,1444.029429,1462.858323,1523.019873,1421.188472,1385.685072,1367.543082,1370.950275,1364.345909,1372.020961,1377.168213,1396.669615
